Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
가마치통닭 봉래점,31점,리뷰없음,치킨   닭강정,부산광역시 영도구 봉래동3가 132-13 ,https://www.diningcode.com/profile.php?rid=h5n2k4X0zyyM,  포장 한마리통닭 추천 :9000원   포장 두마리통닭 :17000원   매장 모둠감자튀김 :8500원   매장 치즈막대감자 :9000원   먹태 :11000원   치즈볼:5개 :5000원   스노위이치즈볼:5개 :5500원   가마치떡볶이 :9000원   가마치오뎅탕 :9000원   포장 후라이드(조각닭) :15000원   포장 양념/간장/사천/치즈 치킨 :16000원   포장 후라이드 콤보 :17000원   포장 양념/간장/사천/치즈 콤보 :17000원   매장 똥집튀김 :9000원   매장 간장똥집튀김 :10000원   매장 닭발튀김 :11000원   매장 무뼈매운닭발 :16000원  ,"X :129.044393, Y :35.0947436"
토박이숯불촌,31점,리뷰없음,고기집,부산광역시 영도구 봉래동1가 91-16 ,https://www.diningcode.com/profile.php?rid=SGLzwMTTPsN0,  생삼겹살 :9000원   된장숙성갈비 :9000원   김치찌개 :7000원   돈까스 :7000원   돌솥비빔밥 :7000원  ,"X :129.040422, Y :35.0938282"
온지당,31점,리뷰없음,베이커리   스콘,부산광역시 영도구 봉래동2가 29 ,https://www.diningcode.com/profile.php?rid=r7Mb61JXRsIl,  고매샌드 :2300원   구카롱 :2800원   고매샌드5입 :11000원   고매샌드10입 :20000원   오미자에이드 :5500원  ,"X :129.042457, Y :35.0927486"
순천집,31점,리뷰없음,포장마차   la갈비,부산광역시 영도구 봉래동1가 48-5 ,https://www.diningcode.com/profile.php?rid=Pi8BLgspxuoV,  염통꼬치 :20000원   꼼장어구이 :20000원   닭날개구이 :20000원   새우구이 :20000원   문어숙회 :20000원  ,"X :129.039504, Y :35.0934742"
소소한 상,31점,리뷰없음,메밀국수   백반,부산광역시 영도구 봉래동1가 92-5 ,https://www.diningcode.com/profile.php?rid=au4OJHUYVLMp,  점심 한 상 :7000원  ,"X :129.039866, Y :35.0934951"
할매집,31점,리뷰없음,한식,부산광역시 영도구 봉래동3가 12-5 ,https://www.diningcode.com/profile.php?rid=nx4E9ZDyUj5O,없음,"X :129.043427, Y :35.0925340"
죠스떡볶이 부산봉래점,31점,리뷰없음,순대   떡볶이,부산광역시 영도구 봉래동3가 24 ,https://www.diningcode.com/profile.php?rid=TAKXpMdTMJmt,  죠스떡볶이 :4500원   치즈떡볶이 :6000원   수제튀김 :5000원   죠스찰순대 :4500원   부산어묵 :4500원   빠삭촉촉만두 :5000원   모듬튀김 :8500원  ,"X :129.044254, Y :35.0927003"
옛날통닭,31점,리뷰없음,통닭   옛날통닭,부산광역시 영도구 봉래동3가 21-2 ,https://www.diningcode.com/profile.php?rid=dQjkQnLLhB73,  통닭:1마리 :6000원   통닭:2마리 :10000원  ,"X :129.043519, Y :35.0931272"
eum cafe,31점,리뷰없음,디저트   카페,부산광역시 영도구 봉래동2가 12 ,https://www.diningcode.com/profile.php?rid=OsdIgZrOVM98,  아메리카노 :2500원   생과일(제철과일) :4500원   에이드(착즙) :4000원   파이종류 :4000원   크로와상 :2500원  ,"X :129.041637, Y :35.0928615"
라치나타 부산 라발스호텔점,31점,리뷰없음,스페인   올리브,부산광역시 영도구 봉래동1가 29 ,https://www.diningcode.com/profile.php?rid=DoYmxHqtPrxm,없음,"X :129.039146, Y :35.0945255"
고을산채,31점,리뷰없음,산채정식   소고기버섯전골,부산광역시 영도구 봉래동3가 100-1 ,https://www.diningcode.com/profile.php?rid=qKMwTizCMS8d,  소고기버섯전골 :11000원   곱창전골 :13000원   낙.삼볶음 소 :30000원   가브리살 :11000원   삼겹살 :9000원  ,"X :129.044777, Y :35.0934575"
아나고뭐해,31점,리뷰없음,한식   문어숙회,부산광역시 영도구 봉래동4가 116-3 ,https://www.diningcode.com/profile.php?rid=aFmOY0o8Na5Y,없음,"X :129.046169, Y :35.0934340"
신미식당,31점,리뷰없음,김치찌개   된장찌개,부산광역시 영도구 봉래동3가 160 ,https://www.diningcode.com/profile.php?rid=WsEJhp6dA5jc,  김치찌개 :5000원   된장찌개 :5000원   동태탕 :5000원   매운탕 :5000원  ,"X :129.045482, Y :35.0948965"
자매보리밥,15점,0점,보리밥   장어탕,부산광역시 영도구 봉래동1가 8-1 ,https://www.diningcode.com/profile.php?rid=H7IVoBPXGVBx,  보리밥 :7000원   장어탕 :13000원   우럭탕 :13000원   청국장 :8000원   콩비지 :8000원   김치찌개 :8000원   회덮밥 :13000원   한치물회 :13000원   전어회밥 :13000원   물메기탕 :15000원  ,"X :129.039312, Y :35.0936847"
재하식당,15점,5.0점,숯불고기   온국수,부산광역시 영도구 봉래동1가 97-2 ,https://www.diningcode.com/profile.php?rid=QdBN7AgERv5j,  비빔국수 :6000원   숯불고기 백반 :9500원   숯불고기 한판 :24000원   비빔국수+숯불고기 :9500원   온국수+숯불고기:160g :9500원   온국수 :6000원  ,"X :129.040589, Y :35.0930233"
부산추어탕,15점,리뷰없음,추어탕,부산시 영도구 봉래동2가 35-5 ,https://www.diningcode.com/profile.php?rid=BW5IZe9G0Bha,  고등어추어탕 :5000원   조기매운탕 :7000원   조기구이 :7000원   정구지찌짐 :3000원   계란말이 :3000원   두부김치 :4000원   가자미식해:1kg :20000원  ,"X :129.042676, Y :35.0923033"
청화조개구이,15점,리뷰없음,해물   조개구이,부산광역시 영도구 봉래동3가 18-1 ,https://www.diningcode.com/profile.php?rid=2jdlSnzvpvNF,  조개구이 특대 :70000원   조개구이 대 :60000원   조개구이 중 :50000원   조개구이 소 :40000원   장어구이 대 :60000원  ,"X :129.043948, Y :35.0927415"
부산갈매기명가,15점,리뷰없음,한식   갈매기살,부산광역시 영도구 봉래동3가 161-10 ,https://www.diningcode.com/profile.php?rid=IBObgEvGqaJy,  갈매기살 :8000원   생포 삼겹살 :8000원   생오겹살 :8000원   생삼겹살 :8000원   차돌된장찌개 :5000원   잔치국수 :3000원   비빔국수 :4000원   된장찌개 :1000원   김치칼국수 :4000원   물냉면 :4000원   비빔냉면 :4500원  ,"X :129.045276, Y :35.0949900"
